"","x","y","Presence","temp_mean_annual","temp_range","prec_annual","tree_cover","pop_dens","aspect","slope","water_bodies"
"1",-1719500,4725500,1,21.7709712982178,5.05713510513306,2464.69091796875,94,281.878814697266,248.233016967773,10.9318599700928,0
"2",-1721500,4722500,1,22.2566413879395,4.9439058303833,2576.16748046875,93,281.878814697266,329.284698486328,11.1853551864624,0
"3",-1713500,4722500,1,14.5429201126099,5.92146968841553,2873.12158203125,79,281.878814697266,307.556732177734,12.4656572341919,0
"4",-1712500,4722500,1,13.558349609375,6.05576992034912,2929.67504882812,73,281.878814697266,272.5419921875,12.7061138153076,0
"5",-1715500,4721500,1,16.1657466888428,5.77905035018921,2871.45068359375,91,281.878814697266,219.283294677734,9.37197303771973,0
"6",-1714500,4721500,1,14.8985347747803,5.8616099357605,2930.21801757812,79,281.878814697266,198.378936767578,9.18804740905762,0
"7",-1646500,4713500,1,13.3551511764526,7.90915822982788,3783.24926757812,87,28.433198928833,348.671600341797,16.9185104370117,0
"8",-1727500,4711500,1,26.0625972747803,4.45619869232178,2044.54724121094,55,98.4677581787109,197.622299194336,0.638715505599976,0.0127999996766448
"9",-1693500,4704500,1,4.42478036880493,8.22159004211426,4388.3720703125,0,98.4677581787109,312.771057128906,6.73974132537842,0
"10",-1696500,4703500,1,7.23784160614014,8.25309181213379,4140.59814453125,38,98.4677505493164,232.699188232422,9.8069486618042,0
"11",-1693500,4703500,1,4.79487323760986,8.19999980926514,4345.93212890625,0,98.4677429199219,232.217666625977,8.48278903961182,0
"12",-1692500,4703500,1,4.3046875,8.19428730010986,4413.99072265625,1,98.4677505493164,254.532958984375,5.75453472137451,0
"13",-1701500,4702500,1,12.7843503952026,8.18744564056396,3719.62036132812,82,98.4677505493164,249.015777587891,7.69316816329956,0
"14",-1700500,4702500,1,12.1510009765625,8.19684600830078,3766.5390625,77,98.4677581787109,226.997055053711,8.08409976959229,0
"15",-1690500,4701500,1,4.04106426239014,8.12277030944824,4543.3681640625,0,107.087455749512,230.640548706055,7.37858200073242,0
"16",-1672500,4701500,1,0.874414086341858,8.2038106918335,5635.65478515625,0,56.9058380126953,307.605987548828,4.00735330581665,0.00799999944865704
"17",-1685500,4699500,1,4.89191913604736,8.06060600280762,5096.4853515625,1,100.997261047363,175.00227355957,13.708309173584,0
"18",-1549500,4696500,1,19.3228759765625,9.51067924499512,1178.38903808594,91,83.1264572143555,322.137115478516,17.3068675994873,0
"19",-1631500,4690500,1,20.2535648345947,8.7602596282959,2928.7275390625,68,138.695266723633,121.26978302002,8.22174453735352,0
"20",-1640500,4679500,1,18.802318572998,8.91422557830811,3590.58349609375,53,138.695266723633,146.155822753906,19.8446712493896,0.0240000002086163
"21",-1610500,4678500,1,26.161376953125,9.31498527526855,1695.736328125,59,138.695281982422,116.805786132812,4.56414794921875,0.532800018787384
"22",-1570500,4668500,1,12.3360843658447,8.66746997833252,2208.22119140625,68,53.4997138977051,353.587493896484,13.5298852920532,0
"23",-1569500,4668500,1,12.2308349609375,8.67266082763672,2201.50390625,90,41.840145111084,356.448608398438,15.9896697998047,0
"24",-1572500,4663500,1,16.2124271392822,8.45881462097168,2246.11743164062,58,130.734558105469,324.590576171875,12.4454879760742,0
"25",-1571500,4663500,1,15.6194095611572,8.46176624298096,2269.01000976562,60,130.734558105469,343.925689697266,17.7723007202148,0
"26",-1570500,4662500,1,12.4585933685303,8.43582534790039,2342.58740234375,72,130.734558105469,347.851348876953,24.011848449707,0
"27",-1569500,4662500,1,12.615478515625,8.40302085876465,2338.513671875,85,130.734558105469,351.027374267578,18.9746341705322,0
"28",-1574500,4661500,1,14.9025630950928,8.44581985473633,2298.74389648438,88,109.004783630371,330.428466796875,20.5111236572266,0
"29",-1569500,4661500,1,10.952392578125,8.39506053924561,2383.86572265625,50,123.648506164551,347.779388427734,11.677661895752,0
"30",-1566500,4661500,1,9.72866249084473,8.42287349700928,2346.76196289062,44,81.0261535644531,359.72021484375,12.9733190536499,0
"31",-1577500,4660500,1,17.0791263580322,8.36905097961426,2261.13110351562,86,102.728462219238,329.215850830078,13.8304653167725,0
"32",-1576500,4660500,1,16.1722164154053,8.34875679016113,2290.90747070312,92,93.4170303344727,334.658172607422,8.92928886413574,0
"33",-1572500,4660500,1,12.7163333892822,8.33693790435791,2381.55200195312,88,46.2301635742188,235.784301757812,15.019437789917,0
"34",-1571500,4660500,1,11.7998294830322,8.36170959472656,2398.56005859375,58,68.9610137939453,212.702163696289,13.8921203613281,0
"35",-1569500,4660500,1,10.6309080123901,8.3751277923584,2421.16723632812,41,67.1494445800781,265.48828125,9.38400363922119,0
"36",-1568500,4660500,1,9.59672832489014,8.39384365081787,2431.07080078125,58,78.5882110595703,311.044952392578,10.0287437438965,0
"37",-1567500,4660500,1,8.70661640167236,8.37139892578125,2430.7685546875,24,106.431701660156,345.022521972656,7.98450994491577,0
"38",-1579500,4659500,1,17.900390625,8.36494636535645,2252.421875,69,104.531059265137,263.641357421875,9.73463726043701,0
"39",-1569500,4659500,1,11.1141357421875,8.33350563049316,2464.96655273438,85,21.8939037322998,273.195678710938,15.4190635681152,0
"40",-1571500,4658500,1,14.8369388580322,8.27347946166992,2472.94897460938,91,21.8939037322998,271.570953369141,16.9873790740967,0
"41",-1565500,4634500,1,9.1427001953125,8.83109951019287,2991.15869140625,38,18.63427734375,146.29443359375,14.3776626586914,0
"42",-1567500,4633500,1,8.31472206115723,8.90746974945068,2892.02612304688,21,24.6984691619873,186.862915039062,4.8432240486145,0
"43",-1571500,4629500,1,10.1014156341553,9.31137371063232,2613.36840820312,37,30.9379329681396,239.147979736328,6.27338123321533,0
"44",-1572500,4625500,1,9.59758281707764,9.6307201385498,2453.38354492188,71,31.4737796783447,282.717895507812,11.8331775665283,0
"45",-1570500,4625500,1,8.74948692321777,9.60043907165527,2586.49731445312,13,23.2410144805908,122.702308654785,5.97009325027466,0
"46",-1580500,4623500,1,17.0906734466553,10.1117153167725,2320.9580078125,93,31.4737796783447,307.982238769531,13.8187913894653,0
"47",-1600500,4581500,1,27.1507816314697,12.6526727676392,1949.85290527344,65,28.5862522125244,289.778869628906,1.54465425014496,0
"48",-1599500,4578500,1,25.9451656341553,12.4634370803833,2079.01049804688,61,29.2640686035156,339.423370361328,9.25176811218262,0
"49",-1308500,4528500,1,6.02663564682007,8.17577934265137,2023.69885253906,3,33.0819702148438,146.493118286133,5.57401895523071,0
