"","X","coordinateUncertaintyInMeters","occurrenceStatus","decimalLongitude","decimalLatitude"
"1755",1755,NA,"PRESENT",-2075083.88439826,3470191.72209459
"1756",1756,NA,"PRESENT",-974977.336108647,361183.545573983
"1757",1757,NA,"PRESENT",-388308.160839743,1619659.60040257
"1758",1758,NA,"PRESENT",-2084739.61453532,3498210.6243448
"1759",1759,NA,"PRESENT",-1664306.84735063,2202909.45154821
"1760",1760,NA,"PRESENT",-1749074.54003584,2208289.30576722
"1761",1761,NA,"PRESENT",-2085203.34731432,3478940.24507126
"1762",1762,NA,"PRESENT",-1281435.46472467,2126896.87866934
"1763",1763,NA,"PRESENT",-1223821.57925799,2041298.92070942
"1764",1764,NA,"PRESENT",-1571915.95834432,4660737.08912056
"1765",1765,NA,"PRESENT",-567397.303281463,775771.391560597
"1766",1766,NA,"PRESENT",-558354.95768845,781798.728114642
"1767",1767,NA,"PRESENT",-1819844.45457991,4050823.54381917
"1768",1768,NA,"PRESENT",-1286754.03081098,2134842.91978349
"1769",1769,NA,"PRESENT",-479012.873421978,967003.198814479
"1770",1770,NA,"PRESENT",-1579262.14230526,4659623.27162158
"1771",1771,NA,"PRESENT",-2082180.64037132,3474283.63458632
"1772",1772,NA,"PRESENT",-2081067.79756063,3474251.59718795
