"","X","coordinateUncertaintyInMeters","occurrenceStatus","decimalLongitude","decimalLatitude"
"1",1,29656,"PRESENT",-560275.514455259,450589.029254845
"2",2,31451,"PRESENT",-2083862.47773153,3473199.39436187
"3",3,31451,"PRESENT",-2085332.83121683,3468540.66951132
"4",4,31451,"PRESENT",-2078886.9425139,3482247.41395497
"5",5,31451,"PRESENT",-2076375.31960221,3464242.69487624
"6",6,25,"PRESENT",-1600215.59202174,4178875.63631638
"7",7,11,"PRESENT",-2086469.46276879,3477300.90080748
"8",8,30025,"PRESENT",-502266.536001753,813048.455429599
"9",9,31451,"PRESENT",-2105023.59966605,3509351.40250458
"10",10,31444,"PRESENT",-2097538.19176388,3334126.11811185
"11",11,31451,"PRESENT",-2067781.88592032,3468826.18994039
"12",12,31451,"PRESENT",-2077897.19792821,3467338.88604931
"13",13,31104,"PRESENT",-1730057.78345282,2218338.0765975
"14",14,31104,"PRESENT",-1730506.32774422,2210849.81232972
"15",15,31451,"PRESENT",-2059721.65892257,3475451.34708614
"16",16,31451,"PRESENT",-2076289.38088014,3495819.65690852
"17",17,4,"PRESENT",-2080289.72946338,3474330.74746729
"18",18,4,"PRESENT",-2086469.87914734,3477304.32534764
"19",19,31451,"PRESENT",-2086341.12922934,3476716.48502157
"20",20,31451,"PRESENT",-2090668.00211703,3480934.31419849
"21",21,31451,"PRESENT",-2078902.21925935,3564035.24548992
"22",22,29891,"PRESENT",-569589.529155445,680141.363925841
"23",23,31451,"PRESENT",-2084480.13917766,3489547.24629854
"24",24,31451,"PRESENT",-2080860.14557166,3464294.7101722
"25",25,31451,"PRESENT",-2081805.72186087,3475130.48975302
"26",26,31438,"PRESENT",-1890343.08098879,3786489.74305169
"27",27,29727,"PRESENT",-767364.816575108,503371.224575431
"28",28,31451,"PRESENT",-2094541.34671045,3469905.18809936
"29",29,30196,"PRESENT",-492954.079101264,997680.09643198
"30",30,30196,"PRESENT",-484969.807799321,996481.91554283
"31",31,30196,"PRESENT",-503437.868642483,993864.39664623
"32",32,30196,"PRESENT",-488843.04711409,999063.695794985
"33",33,30196,"PRESENT",-496370.400267883,1008195.15011251
"34",34,30196,"PRESENT",-496139.736162606,1009180.43950051
"35",35,30318,"PRESENT",-540692.754047251,1145600.35059572
"36",36,30196,"PRESENT",-465609.188412379,995125.574772456
"37",37,5,"PRESENT",-2104705.43146645,3460293.94337041
"38",38,NA,"PRESENT",-1785005.85527696,2220214.25872789
"39",39,NA,"PRESENT",-2124091.78743878,3365374.17864738
"40",40,30258,"PRESENT",-521166.946755596,1081701.51514183
"41",41,31451,"PRESENT",-2081216.47665951,3473187.10719676
"42",42,31451,"PRESENT",-2088362.7134948,3472140.53541248
"43",43,31451,"PRESENT",-2092399.5706355,3461464.50265356
"44",44,31451,"PRESENT",-2082207.29191983,3471508.58679667
"45",45,30025,"PRESENT",-499110.314630739,810543.670041757
"46",46,31398,"PRESENT",-1811459.33194514,4060440.74562651
"47",47,1982403,"PRESENT",-1487265.39184808,3937952.20932951
"48",48,31451,"PRESENT",-2099990.84933144,3577569.33337916
"49",49,31451,"PRESENT",-2053331.57789408,3496570.69009914
"50",50,31451,"PRESENT",-2069182.80401034,3476669.59276833
"51",51,31451,"PRESENT",-2066367.71846222,3480012.44278092
"52",52,31451,"PRESENT",-2072008.87153753,3472739.58608294
"53",53,31451,"PRESENT",-2067534.10354918,3482860.89310105
"54",54,31451,"PRESENT",-2051472.62469677,3473184.07818662
"55",55,30913,"PRESENT",-1569767.0678314,1881514.87537686
"56",56,5,"PRESENT",-2086951.51129153,3477413.54355123
"57",57,15,"PRESENT",-2087070.51806263,3477628.86286386
"58",58,32,"PRESENT",-2087728.02798694,3477479.92460929
"59",59,16,"PRESENT",-2086468.62691295,3477306.3237844
"60",60,16,"PRESENT",-2080389.59159566,3495741.26638041
"61",61,3,"PRESENT",-2080376.79106567,3495753.44801068
"62",62,31115,"PRESENT",-1733143.78278956,2244324.46832592
"63",63,31057,"PRESENT",-1555173.24193604,2143312.78092689
"64",64,31398,"PRESENT",-1819809.38762145,4047483.49335613
"65",65,31438,"PRESENT",-1911052.30603246,3787869.19347224
"66",66,30025,"PRESENT",-514015.574896781,828043.956607806
"67",67,31451,"PRESENT",-2086165.50457907,3466068.75194856
"68",68,30870,"PRESENT",-1233125.81341299,1848497.5982229
"69",69,31451,"PRESENT",-2112190.90174555,3536502.92881301
"70",70,30795,"PRESENT",-778704.001880297,1763200.29955933
"71",71,31441,"PRESENT",-1901094.35951094,3782382.11952411
"72",72,31451,"PRESENT",-2073137.97954782,3474969.25875972
"73",73,31451,"PRESENT",-2070673.00454036,3477099.1979368
"74",74,31450,"PRESENT",-2109746.24721013,3438032.58589968
"75",75,31451,"PRESENT",-2107119.68804071,3465596.80982715
"76",76,31451,"PRESENT",-2114597.74815287,3470301.52459275
"77",77,31450,"PRESENT",-2114102.39350606,3452914.65848142
"78",78,31020,"PRESENT",-1347860.11014389,2098139.23651818
"79",79,4,"PRESENT",-2085333.61756597,3475862.81154733
"80",80,3,"PRESENT",-2086465.87865234,3477302.63977537
"81",81,1,"PRESENT",-2086467.82222916,3477303.48945203
"82",82,6,"PRESENT",-557957.265279025,782501.938099366
"83",83,4,"PRESENT",-540978.229340946,786787.440528363
"84",84,11,"PRESENT",-2086477.34665293,3477303.3087977
"85",85,4,"PRESENT",-2086467.84825279,3477303.70348579
"86",86,25,"PRESENT",-2086461.87267614,3477302.8010506
"87",87,30810,"PRESENT",-808976.625201277,1776333.76322359
"88",88,31451,"PRESENT",-2072667.08003806,3483628.997058
"89",89,31451,"PRESENT",-2071961.66407235,3482866.39512844
"90",90,30780,"PRESENT",-1090626.93066929,1721689.28700356
"91",91,31451,"PRESENT",-2088086.60590612,3499264.03392379
"92",92,30870,"PRESENT",-1214633.15552657,1841799.53637355
"93",93,30870,"PRESENT",-1220711.22365209,1837468.60572633
"94",94,760,"PRESENT",-2072040.13340078,3487785.26593312
"95",95,3,"PRESENT",-1224449.81586155,1858788.37622418
"96",96,31398,"PRESENT",-1826465.35407273,4051581.34561171
"97",97,30047,"PRESENT",-533819.042494429,842509.891634656
"98",98,30683,"PRESENT",-499146.763780198,1614847.69860848
"99",99,30683,"PRESENT",-496379.614133876,1617464.00069186
"100",100,30870,"PRESENT",-1222385.0002713,1843123.3797088
"101",101,31344,"PRESENT",-1961489.32784682,2797138.52648196
"102",102,31398,"PRESENT",-1815301.40020077,4052121.49827225
"103",103,3,"PRESENT",-2087063.34618392,3477070.56059763
"104",104,31032,"PRESENT",-1290283.30585862,2119997.3940455
"105",105,31032,"PRESENT",-1286972.74100227,2127976.88811705
"106",106,31020,"PRESENT",-1364212.7212092,2095705.07386342
"107",107,55865,"PRESENT",-729374.471413705,233127.854510986
"108",108,31451,"PRESENT",-2094219.21224334,3468110.72148295
"109",109,31020,"PRESENT",-1331771.95529548,2091207.61639649
"110",110,77962,"PRESENT",-1249868.61743149,1848284.47189691
"111",111,77962,"PRESENT",-1248378.3547263,1848781.30796226
"112",112,77962,"PRESENT",-1234326.63846324,1849417.91023014
"113",113,30870,"PRESENT",-1219824.75861,1853318.4923553
"114",114,29704,"PRESENT",-664073.158850052,479772.302768962
"115",115,29704,"PRESENT",-655596.50607285,474807.569148768
"116",116,29775,"PRESENT",-658590.035034711,566689.114599827
"117",117,30025,"PRESENT",-510735.177299069,811772.633693891
"118",118,31115,"PRESENT",-1748238.35787889,2241704.39854346
"119",119,30025,"PRESENT",-505370.93095055,821906.341454341
"120",120,29981,"PRESENT",-567805.143432467,769065.409852542
"121",121,30196,"PRESENT",-496098.835541036,1000178.41067627
"122",122,29751,"PRESENT",-549094.24075808,534975.166097841
"123",123,31451,"PRESENT",-2079898.88947161,3463411.35399063
"124",124,31451,"PRESENT",-2081736.59915012,3470760.17042581
"125",125,4,"PRESENT",-1720751.35813387,2276033.26984515
"126",126,1,"PRESENT",-2074164.33503512,3473746.44394983
"127",127,30258,"PRESENT",-514294.545785467,1067490.22619137
"128",128,29981,"PRESENT",-500493.644519001,772525.365241339
"129",129,31451,"PRESENT",-2049114.42267731,3467601.72350417
"130",130,31451,"PRESENT",-2059630.00952472,3468429.97469814
"131",131,30870,"PRESENT",-1214352.59894175,1858094.95217027
"132",132,30870,"PRESENT",-1227239.47386571,1837335.88932533
"133",133,30994,"PRESENT",-1326311.51968886,2046412.94150178
"134",134,30994,"PRESENT",-1330823.77340814,2040570.81672315
"135",135,31020,"PRESENT",-1353653.07609738,2093181.36652326
"136",136,31398,"PRESENT",-1824575.43862278,4051274.76139678
"137",137,30885,"PRESENT",-1193781.9987335,1863430.84865099
"138",138,31020,"PRESENT",-1222955.0397323,2101957.37880448
"139",139,30870,"PRESENT",-1230891.74298043,1842287.16876543
"140",140,30870,"PRESENT",-1216352.37592815,1847888.40440976
"141",141,30870,"PRESENT",-1219337.3876637,1854049.3852654
"142",142,30870,"PRESENT",-1227725.05928598,1858431.72110802
"143",143,30870,"PRESENT",-1219680.41974751,1846297.52517263
"144",144,30870,"PRESENT",-1213785.42015217,1845469.66730304
"145",145,30870,"PRESENT",-1215247.08080134,1860586.51991206
"146",146,30870,"PRESENT",-1214236.18736334,1854062.99051033
"147",147,30683,"PRESENT",-425483.371343286,1616571.38851184
"148",148,30298,"PRESENT",-509886.683426382,1130089.26719435
"149",149,30154,"PRESENT",-465602.034885359,971368.734165124
"150",150,31126,"PRESENT",-1747030.06983791,2268209.21534716
"151",151,30870,"PRESENT",-1224868.02297212,1859269.2645312
"152",152,10,"PRESENT",-2076008.27443443,3493965.26201656
"153",153,8,"PRESENT",-2076000.05425098,3493965.82152202
"154",154,3,"PRESENT",-1232018.72374416,1858913.06553346
"155",155,3,"PRESENT",-1229885.84974388,1859327.88230465
"156",156,25,"PRESENT",-1230491.33009744,1858523.5683365
"157",157,30154,"PRESENT",-482568.4943172,959482.360739361
"158",158,31115,"PRESENT",-1745438.65028441,2230723.72006409
"159",159,31020,"PRESENT",-1342187.26240772,2093941.32945559
"160",160,30318,"PRESENT",-546226.644513841,1149375.81196714
"161",161,30298,"PRESENT",-525141.321750639,1120632.42353669
"162",162,30298,"PRESENT",-510343.14572759,1118728.88980264
"163",163,30298,"PRESENT",-519596.897819759,1127775.13838834
"164",164,30318,"PRESENT",-532169.39164931,1148947.6760589
"165",165,30318,"PRESENT",-547856.500792262,1148609.57886504
"166",166,30318,"PRESENT",-540680.037979621,1137351.88712588
"167",167,30318,"PRESENT",-544598.009637937,1135509.82317409
"168",168,30298,"PRESENT",-522255.913789794,1110401.75592139
"169",169,30298,"PRESENT",-526617.119176843,1115858.75561599
"170",170,31398,"PRESENT",-1813120.72366964,4058398.18234662
"171",171,30870,"PRESENT",-1228074.35948025,1851206.42146068
"172",172,30870,"PRESENT",-1215282.08562437,1859806.99470279
"173",173,7,"PRESENT",-1755561.75928152,2254335.22951482
"174",174,14,"PRESENT",-1755556.10124705,2254329.32319166
"175",175,3,"PRESENT",-2078068.10392747,3474291.93188626
"176",176,3,"PRESENT",-2086149.13870123,3477952.76532267
"177",177,24,"PRESENT",-1738483.16200082,2269060.56232296
"178",178,6,"PRESENT",-1738337.25920281,2268917.20181716
"179",179,31126,"PRESENT",-1753188.62241576,2265753.01090909
"180",180,30196,"PRESENT",-471639.538449053,1012403.28168626
"181",181,30258,"PRESENT",-519379.384528338,1073574.64826762
"182",182,30258,"PRESENT",-508916.120024541,1071511.94191486
"183",183,31438,"PRESENT",-1854817.28772606,3790786.45538639
"184",184,30025,"PRESENT",-502750.650328496,821126.45192354
"185",185,31451,"PRESENT",-2072838.56276864,3476089.46567277
"186",186,30870,"PRESENT",-1226247.46701062,1856653.62044275
"187",187,29680,"PRESENT",-548681.779778506,461244.099875278
"188",188,29822,"PRESENT",-534373.601278177,606890.681746583
"189",189,30003,"PRESENT",-563510.219857069,789213.175132752
"190",190,31451,"PRESENT",-2094932.74352693,3462241.34619548
"191",191,30154,"PRESENT",-477309.200260125,966615.824757785
"192",192,3,"PRESENT",-554688.15396635,783126.097567735
"193",193,4,"PRESENT",-559440.870985505,782964.912045984
"194",194,4,"PRESENT",-554682.315111692,783128.541874258
"195",195,10,"PRESENT",-1740894.74956239,2265794.19459011
"196",196,10,"PRESENT",-1754863.54868477,2253684.58757715
"197",197,16,"PRESENT",-2086458.51933419,3477312.11388145
"198",198,24,"PRESENT",-2073668.03784587,3491943.16778781
"199",199,29798,"PRESENT",-543425.354261273,587276.560497093
"200",200,31428,"PRESENT",-2145319.49369429,3180974.22687257
"201",201,29508,"PRESENT",-1041907.58913395,278720.718998846
"202",202,30025,"PRESENT",-470891.007870119,825706.209197458
"203",203,30025,"PRESENT",-466657.56421923,815432.204798629
"204",204,31032,"PRESENT",-1301596.86641401,2108181.74213989
"205",205,30870,"PRESENT",-895046.389274603,1880061.14286739
"206",206,31451,"PRESENT",-2092905.35160034,3481354.14285025
"207",207,31451,"PRESENT",-2085322.83032748,3482056.93337341
"208",208,31451,"PRESENT",-2101019.18965924,3506976.28732008
"209",209,31451,"PRESENT",-2092111.41460993,3471486.60524924
"210",210,31451,"PRESENT",-2088701.24415479,3478094.41307328
"211",211,31451,"PRESENT",-2081400.62960292,3518857.13904169
"212",212,31451,"PRESENT",-2090329.04856626,3474029.46695852
"213",213,29508,"PRESENT",-1049940.13428963,271800.969745819
"214",214,8,"PRESENT",-1756294.86937369,2252653.16950322
"215",215,3,"PRESENT",-2081939.55588383,3474364.59221896
"216",216,3,"PRESENT",-2086468.22559545,3477306.80697491
"217",217,4,"PRESENT",-1219539.38633267,1851848.18546014
"218",218,29558,"PRESENT",-1041341.30658396,327644.455157077
"219",219,29533,"PRESENT",-983426.846531964,301358.287609961
"220",220,31448,"PRESENT",-2080926.71165993,3401097.51623005
"221",221,29822,"PRESENT",-539039.873709582,601164.223267705
"222",222,31451,"PRESENT",-2076449.35757837,3472959.8352773
"223",223,2,"PRESENT",-559347.830974711,783652.050992189
"224",224,3,"PRESENT",-558950.727892387,784804.257645524
"225",225,30258,"PRESENT",-511609.0072518,1066078.665944
"226",226,31450,"PRESENT",-2105611.49569017,3443170.19024103
"227",227,31451,"PRESENT",-2068391.31955682,3544918.04499745
"228",228,30112,"PRESENT",-416533.034854474,923035.231881429
"229",229,29607,"PRESENT",-534643.563262929,401262.931996057
"230",230,29981,"PRESENT",-531939.08742846,769664.479733947
"231",231,29727,"PRESENT",-548193.819107042,516584.329720832
"232",232,31115,"PRESENT",-1736402.52077755,2231521.60517475
"233",233,NA,"PRESENT",-498924.056062669,625226.330432254
"234",234,NA,"PRESENT",-1822879.67370896,4081949.43625007
"235",235,NA,"PRESENT",-425568.725230159,895829.633654427
"236",236,NA,"PRESENT",-1820457.02076013,4050875.79804549
"237",237,NA,"PRESENT",-2125337.01070582,3388221.01575876
"238",238,NA,"PRESENT",-652028.668901903,314144.161995722
"239",239,NA,"PRESENT",-1829093.17181997,4049876.41198988
"240",240,NA,"PRESENT",-2132048.31377635,3442367.80005852
"241",241,NA,"PRESENT",-2063793.22249192,3537998.54619267
"242",242,NA,"PRESENT",-1705481.03318513,2243706.30698747
"243",243,NA,"PRESENT",-2086900.54953192,3477138.25227343
"244",244,NA,"PRESENT",-2085951.66774032,3476390.77979863
"245",245,NA,"PRESENT",-2171957.15092424,3125778.73655397
"246",246,NA,"PRESENT",-479624.578343566,1465072.72177889
"247",247,NA,"PRESENT",-1229193.70828704,1858467.87901784
"248",248,NA,"PRESENT",-1572647.85889313,4660490.5897989
"249",249,NA,"PRESENT",-2086900.38034104,3477136.86104956
"250",250,NA,"PRESENT",-1232899.85191934,2062692.83229664
"251",251,NA,"PRESENT",-2074627.52302657,3474536.25270185
"252",252,NA,"PRESENT",-1807707.55325902,4081606.75850012
"253",253,NA,"PRESENT",-559458.524080902,783327.327548449
"254",254,NA,"PRESENT",-1223804.25002188,2041291.06341671
"255",255,NA,"PRESENT",-546052.551488438,819328.052602133
"256",256,NA,"PRESENT",-2073855.04663641,3493774.24083904
"257",257,NA,"PRESENT",-766036.027704246,571657.520929037
"258",258,NA,"PRESENT",-424331.747338853,914773.744082988
"259",259,NA,"PRESENT",-550448.539913504,531723.732298563
"260",260,NA,"PRESENT",-538598.779192451,645142.321272935
"261",261,NA,"PRESENT",-532289.095382365,652617.386617105
"262",262,NA,"PRESENT",-538096.239134247,644529.685747647
"263",263,NA,"PRESENT",-533825.069205868,650452.696282718
"264",264,NA,"PRESENT",-538455.782402998,591862.014352151
"265",265,NA,"PRESENT",-539822.838917638,593731.723096504
"266",266,NA,"PRESENT",-511126.091684013,796269.739510715
"267",267,NA,"PRESENT",-548634.414753149,807640.098611244
"268",268,NA,"PRESENT",-2074728.22269429,3469342.11500226
"269",269,NA,"PRESENT",-456920.431752844,1634760.4975066
"270",270,NA,"PRESENT",-2083934.42402516,3345384.06422985
"271",271,NA,"PRESENT",-579567.310466148,572619.191267945
"272",272,NA,"PRESENT",-1309050.11068381,2097980.4333013
"273",273,NA,"PRESENT",-1309063.62699397,2098211.69250975
"274",274,NA,"PRESENT",-2086933.72231178,3497541.38868797
"275",275,NA,"PRESENT",-479427.535457944,968692.906579903
"276",276,NA,"PRESENT",-474198.90591951,961982.252743672
"277",277,NA,"PRESENT",-1308996.85118411,2098494.77589187
"278",278,NA,"PRESENT",-2085621.42343282,3496112.42099532
"279",279,NA,"PRESENT",-434218.117075161,888837.012037421
"280",280,NA,"PRESENT",-506605.566532783,772690.20709407
"281",281,NA,"PRESENT",-507540.779628214,774604.578263709
"282",282,NA,"PRESENT",-421158.712397347,918713.372563576
"283",283,NA,"PRESENT",-424000.98654943,904855.711373128
"284",284,NA,"PRESENT",-555918.51269266,783704.082967936
"285",285,NA,"PRESENT",-1693126.63889508,4703363.629345
"286",286,NA,"PRESENT",-1340786.58394565,1990136.89023409
"287",287,NA,"PRESENT",-547519.540797402,606154.408886843
"288",288,NA,"PRESENT",-547323.170907553,605565.639397977
"289",289,NA,"PRESENT",-561140.768317386,662462.684799025
"290",290,NA,"PRESENT",-1755216.23705657,2253751.82605339
"291",291,NA,"PRESENT",-1803455.09906236,3823520.94696451
"292",292,NA,"PRESENT",-473883.949205808,962464.872433466
"293",293,NA,"PRESENT",-478324.181105476,968071.56181871
"294",294,NA,"PRESENT",-551849.413812055,538092.485774542
"295",295,NA,"PRESENT",-527831.480925685,909587.462703723
"296",296,NA,"PRESENT",-529194.384566797,943813.868061025
"297",297,NA,"PRESENT",-470177.22153931,956603.650056104
"298",298,NA,"PRESENT",-482143.856022413,965599.998686031
"299",299,NA,"PRESENT",-2095794.98528198,3449850.27432553
"300",300,NA,"PRESENT",-600114.148340783,528770.370888122
"301",301,NA,"PRESENT",-1309055.71940205,2098141.66911745
"302",302,NA,"PRESENT",-1785152.17320009,4051194.19466517
"303",303,NA,"PRESENT",-1813489.14259259,4068548.30060096
"304",304,NA,"PRESENT",-1816190.25017833,4050010.41632946
"305",305,NA,"PRESENT",-1815850.87948387,4052568.02279404
"306",306,NA,"PRESENT",-965962.059483349,257434.908004508
"307",307,31337,"PRESENT",-1515022.54257931,4309746.40124359
"308",308,30649,"PRESENT",-500600.334293566,1564497.66873563
"309",309,30632,"PRESENT",-496476.067928006,1544251.53025807
"310",310,31451,"PRESENT",-2083402.59437529,3483123.99740172
"311",311,NA,"PRESENT",-876123.648455268,1255808.98903962
"312",312,NA,"PRESENT",-1806230.49575304,4088166.63897593
"313",313,NA,"PRESENT",-2086464.23811198,3477305.22841941
"314",314,NA,"PRESENT",-2088191.52470218,3478172.51577604
"315",315,NA,"PRESENT",-1212378.72244044,1858823.92892211
"316",316,NA,"PRESENT",-992872.10297019,218891.713802101
"317",317,NA,"PRESENT",-444649.519214163,843885.296662151
"318",318,NA,"PRESENT",-2077060.60752094,3546526.01465903
"319",319,NA,"PRESENT",-2073491.63320248,3487495.43499282
"320",320,NA,"PRESENT",-1827492.58999429,4032336.42366356
"321",321,NA,"PRESENT",-1827489.27007771,4032675.65672122
"322",322,NA,"PRESENT",-514084.117584504,888120.357156137
"323",323,NA,"PRESENT",-1827764.43607392,4031988.98915343
"324",324,NA,"PRESENT",-2124184.96342451,3419469.89143942
"325",325,NA,"PRESENT",-506504.053238343,772275.795007743
"326",326,NA,"PRESENT",-516907.218864952,841521.430413211
"327",327,NA,"PRESENT",-538944.6082902,644611.24658306
"328",328,NA,"PRESENT",-536893.315614589,645506.146363214
"329",329,NA,"PRESENT",-531763.297927604,653702.36988244
"330",330,NA,"PRESENT",-537717.444887129,644622.541765024
"331",331,NA,"PRESENT",-514085.198165789,888822.830552782
"332",332,NA,"PRESENT",-765116.120887562,1396753.99443415
"333",333,NA,"PRESENT",-1818062.45216296,4052422.00248102
"334",334,NA,"PRESENT",-1465195.13420554,1946826.33323319
"335",335,NA,"PRESENT",-2164304.0224626,3147709.22574217
"336",336,NA,"PRESENT",-1281370.70944949,2121327.56886376
"337",337,NA,"PRESENT",-435932.343299162,1226953.8351278
"338",338,NA,"PRESENT",-1777675.57515216,2306585.51428251
"339",339,NA,"PRESENT",-511138.025844125,399741.307389968
"340",340,NA,"PRESENT",-1224664.18637348,1858876.79741657
"341",341,NA,"PRESENT",-1810232.96744412,4072823.50941429
"342",342,NA,"PRESENT",-1819617.23041733,4051164.15934976
"343",343,NA,"PRESENT",-1901512.8774488,3802900.99403352
"344",344,NA,"PRESENT",-1566442.91754606,4661467.69654633
"345",345,NA,"PRESENT",-1693570.94083085,4704264.99167154
"346",346,NA,"PRESENT",-553050.295794832,781417.175529758
"347",347,NA,"PRESENT",-538744.985635223,643813.728267493
"348",348,NA,"PRESENT",-1816804.13963941,4054143.4753116
"349",349,NA,"PRESENT",-1819682.6204508,4051168.13470897
"350",350,NA,"PRESENT",-1819711.50923035,4051165.90373633
"351",351,NA,"PRESENT",-559474.505010901,850703.67826484
"352",352,NA,"PRESENT",-1752796.61742801,2256685.29911915
"353",353,NA,"PRESENT",-1556302.67900652,4399148.32551354
"354",354,NA,"PRESENT",-1821112.47671502,4081580.02670442
"355",355,NA,"PRESENT",-1549200.60135574,4696060.54349194
"356",356,NA,"PRESENT",-1456777.67090597,1959703.9796811
"357",357,NA,"PRESENT",-713645.793604499,343684.047444831
"358",358,NA,"PRESENT",-711126.894819287,318103.827722672
"359",359,NA,"PRESENT",-494183.258466772,786510.764310988
"360",360,NA,"PRESENT",-2083428.18421989,3345295.6967279
"361",361,NA,"PRESENT",-511018.190558005,771930.988942005
"362",362,NA,"PRESENT",-1815779.77885043,4052104.78905669
"363",363,NA,"PRESENT",-1563962.91299136,4410376.67283366
"364",364,NA,"PRESENT",-425553.199464344,895825.99864439
"365",365,NA,"PRESENT",-508282.53606304,1064789.58721322
"366",366,NA,"PRESENT",-2070708.17951404,3473147.2268294
"367",367,NA,"PRESENT",-2072625.33411063,3470882.45506714
"368",368,NA,"PRESENT",-487060.025213906,1550744.09990498
"369",369,NA,"PRESENT",-485560.866459739,1554111.20505854
"370",370,NA,"PRESENT",-488366.457105396,1559076.87319474
"371",371,NA,"PRESENT",-1750631.03972695,2259640.46985604
"372",372,NA,"PRESENT",-659053.323715809,489315.496811858
"373",373,NA,"PRESENT",-1907683.82117883,3803431.7582626
"374",374,NA,"PRESENT",-425832.779201755,896291.255954609
"375",375,NA,"PRESENT",-515918.215972999,856404.424237961
"376",376,NA,"PRESENT",-477089.694119815,962084.332055147
"377",377,NA,"PRESENT",-875742.087910852,1406330.6562323
"378",378,NA,"PRESENT",-539922.305325157,595562.874409854
"379",379,NA,"PRESENT",-526699.260273624,848814.543531807
"380",380,NA,"PRESENT",-547254.645562932,605920.852984609
"381",381,NA,"PRESENT",-1570158.99474453,4668731.18345133
"382",382,NA,"PRESENT",-700413.943145478,316578.315244153
"383",383,NA,"PRESENT",-1815417.30458285,4076667.43632473
"384",384,NA,"PRESENT",-2099483.24039254,3461618.63401246
"385",385,NA,"PRESENT",-528602.746025736,931896.869709134
"386",386,31451,"PRESENT",-2078903.11400348,3481279.17181782
"387",387,31451,"PRESENT",-2081032.67430048,3470148.1072345
"388",388,31451,"PRESENT",-2083825.97400675,3469574.85999358
"389",389,31451,"PRESENT",-2094833.83229505,3478931.06467627
"390",390,31398,"PRESENT",-1827682.25555802,4054146.52896645
"391",391,31451,"PRESENT",-2090450.28859724,3469798.45437802
"392",392,30870,"PRESENT",-910564.196101862,1879716.64321253
"393",393,NA,"PRESENT",-1755420.05908841,2254209.4779597
"394",394,NA,"PRESENT",-1822592.75905086,4081834.10394291
"395",395,NA,"PRESENT",-2164301.18722501,3142736.7881469
"396",396,NA,"PRESENT",-641074.254294783,1696199.42083928
"397",397,NA,"PRESENT",-641334.253056004,1696407.25229187
"398",398,NA,"PRESENT",-505694.500747964,1023929.33549119
"399",399,NA,"PRESENT",-493649.510247147,998632.752254669
"400",400,NA,"PRESENT",-470838.215872216,959911.59439301
"401",401,NA,"PRESENT",-477711.728869701,965732.960181671
"402",402,NA,"PRESENT",-484577.394094005,846323.437021004
"403",403,NA,"PRESENT",-489028.384674924,997767.262737317
"404",404,NA,"PRESENT",-2102006.60094448,3458576.23497695
"405",405,NA,"PRESENT",-482681.087577949,997992.527240885
"406",406,NA,"PRESENT",-482718.869239394,999791.12852261
"407",407,NA,"PRESENT",-484212.432076109,999539.340334077
"408",408,NA,"PRESENT",-483276.552039183,999804.193379581
"409",409,NA,"PRESENT",-563353.709190565,660722.941289681
"410",410,NA,"PRESENT",-549993.468482016,613459.23833704
"411",411,NA,"PRESENT",-425655.521679067,894214.680662959
"412",412,NA,"PRESENT",-555593.371919744,783844.072896111
"413",413,NA,"PRESENT",-1820528.35231115,4050873.08469043
"414",414,NA,"PRESENT",-1740644.92484687,2216792.12062465
"415",415,NA,"PRESENT",-487699.648635484,1607360.10832853
"416",416,NA,"PRESENT",-473102.614022905,1458559.23416148
"417",417,NA,"PRESENT",-1900713.203809,3803343.71708982
"418",418,NA,"PRESENT",-1823015.87489977,4014159.9806498
"419",419,NA,"PRESENT",-2075610.71288524,3472009.25394094
"420",420,NA,"PRESENT",-475136.626221644,817517.478831851
"421",421,NA,"PRESENT",-480991.864724812,1448099.45878769
"422",422,NA,"PRESENT",-492214.348203817,1606287.57670445
"423",423,NA,"PRESENT",-1232278.28387775,2043103.37352481
"424",424,NA,"PRESENT",-2059399.28238222,3538009.22011985
"425",425,NA,"PRESENT",-486263.945543166,1450619.5234935
"426",426,NA,"PRESENT",-1807360.88892389,4083186.60923187
"427",427,NA,"PRESENT",-1517708.0294211,4309956.80592063
"428",428,NA,"PRESENT",-571474.867160851,1603413.99229546
"429",429,NA,"PRESENT",-1749870.88617213,2208748.83595977
"430",430,NA,"PRESENT",-1750991.84907654,2209946.07499087
"431",431,NA,"PRESENT",-491683.346631085,1605492.78231106
"432",432,NA,"PRESENT",-916401.925869124,1407575.78617769
"433",433,NA,"PRESENT",-1662535.86407184,2201336.92635813
"434",434,NA,"PRESENT",-521102.412101592,909163.654381076
"435",435,NA,"PRESENT",-1786529.86299114,2381472.44679224
"436",436,NA,"PRESENT",-2072079.37986644,3550436.8320429
"437",437,NA,"PRESENT",-981453.95301265,226019.787094149
"438",438,NA,"PRESENT",-541196.180766052,886046.230059114
"439",439,NA,"PRESENT",-1255910.8030093,2121761.05463647
"440",440,NA,"PRESENT",-424713.690709942,912512.571463946
"441",441,NA,"PRESENT",-629722.749916233,314146.941893172
"442",442,NA,"PRESENT",-1820480.62527517,4050742.53571852
"443",443,NA,"PRESENT",-546233.073013173,692540.957976048
"444",444,NA,"PRESENT",-495287.328153139,1543449.65426439
"445",445,NA,"PRESENT",-469535.607671635,1556924.69576279
"446",446,NA,"PRESENT",-484483.34899545,1557784.00436786
"447",447,NA,"PRESENT",-433937.391773094,1545763.20681301
