"","x","y","Presence"
"235",-1460500,4111500,1
"236",-1808500,4104500,1
"237",880500,4104500,1
"238",-1892500,4103500,1
"239",-1341500,4103500,1
"240",-1890500,4099500,1
"241",-1617500,4099500,1
"242",-1616500,4099500,1
"243",-1421500,4099500,1
"244",-1618500,4098500,1
"245",-1888500,4097500,1
"246",-1618500,4097500,1
"247",-1888500,4095500,1
"248",-1615500,4095500,1
"249",-1815500,4092500,1
"250",-1889500,4091500,1
"251",-1821500,4091500,1
"252",-1812500,4091500,1
"253",-1359500,4091500,1
"254",-1431500,4090500,1
"255",-1352500,4089500,1
"256",-1810500,4088500,1
"257",-1366500,4088500,1
"258",-1966500,4087500,1
"259",-1890500,4087500,1
"260",-1813500,4087500,1
"261",-1812500,4087500,1
"262",-1810500,4087500,1
"263",-1809500,4087500,1
"264",-1808500,4086500,1
"265",-1366500,4086500,1
"266",-1889500,4085500,1
"267",-1369500,4085500,1
"268",-1811500,4084500,1
"269",-1413500,4084500,1
"270",-1817500,4083500,1
"271",-1811500,4083500,1
"272",-1810500,4083500,1
"273",-1370500,4083500,1
"274",-1357500,4082500,1
"275",-1351500,4082500,1
"276",-1338500,4081500,1
"277",-1571500,4079500,1
"278",-1893500,4078500,1
"279",-1852500,4077500,1
"280",-1893500,4075500,1
"281",-1566500,4075500,1
"282",-1376500,4074500,1
"283",-1564500,4073500,1
"284",-1826500,4069500,1
"285",-1827500,4068500,1
"286",-1826500,4068500,1
"287",-1513500,4065500,1
"288",-1898500,4064500,1
"289",852500,4064500,1
"290",-1902500,4062500,1
"291",-1580500,4061500,1
"292",-1579500,4061500,1
"293",-1578500,4061500,1
"294",-1495500,4061500,1
"295",-1402500,4061500,1
"296",-1581500,4060500,1
"297",-1516500,4060500,1
"298",-1899500,4059500,1
"299",-1414500,4059500,1
"300",910500,4059500,1
"301",-1816500,4052500,1
"302",-1916500,4051500,1
"303",773500,4051500,1
"304",877500,4049500,1
"305",-1912500,4048500,1
"306",-1915500,4045500,1
"307",888500,4044500,1
"308",-2023500,4040500,1
"309",-1448500,4040500,1
"310",-1416500,4039500,1
"311",-1447500,4038500,1
"312",-1458500,4037500,1
"313",-1449500,4035500,1
"314",-1447500,4035500,1
"315",-1446500,4035500,1
"316",692500,4035500,1
"317",-1435500,4034500,1
"318",703500,4034500,1
"319",764500,4034500,1
"320",-1826500,4033500,1
"321",-1441500,4033500,1
"322",-1405500,4033500,1
"323",769500,4032500,1
"324",-1488500,4029500,1
"325",-1487500,4027500,1
"326",788500,4027500,1
"327",921500,4026500,1
"328",-1503500,4025500,1
"329",-1442500,4025500,1
"330",697500,4025500,1
"331",-1425500,4024500,1
"332",-1601500,4023500,1
"333",-1502500,4023500,1
"334",-1500500,4023500,1
"335",-1605500,4022500,1
"336",-1606500,4021500,1
"337",-1502500,4021500,1
"338",-1517500,4018500,1
"339",-1511500,4018500,1
"340",-1510500,4018500,1
"341",-1510500,4017500,1
"342",-1515500,4016500,1
"343",-1507500,4016500,1
"344",-1486500,4016500,1
"345",-1509500,4015500,1
"346",-1516500,4014500,1
"347",712500,4014500,1
"348",-1513500,4013500,1
