"","coordinateUncertaintyInMeters","occurrenceStatus","decimalLongitude","decimalLatitude"
"3720",NA,"PRESENT",-77.39725,-9.548065
"3721",NA,"PRESENT",-72.269615,-13.139833
"3722",NA,"PRESENT",-76.588486,-11.737041
"3723",NA,"PRESENT",-78.087425,-6.708568
"3724",NA,"PRESENT",-70.103615,-16.745
"3725",NA,"PRESENT",-78.248276,0.139389
"3726",NA,"PRESENT",-77.352252,-9.429933
"3727",NA,"PRESENT",-77.335149,-9.726897
"3728",NA,"PRESENT",-77.334892,-9.689845
"3729",NA,"PRESENT",-77.335093,-9.718764
"3730",NA,"PRESENT",-77.207794,-9.910499
"3731",NA,"PRESENT",-77.251948,-9.851404
"3732",NA,"PRESENT",-77.228501,-9.842314
"3733",NA,"PRESENT",-75.921118,-12.459304
"3734",NA,"PRESENT",-75.960144,-11.971212
"3735",NA,"PRESENT",-76.006527,-11.887708
"3736",25,"PRESENT",-71.905985,-15.61149
"3737",25,"PRESENT",-71.905553,-15.610972
"3738",25,"PRESENT",-71.905863,-15.612242
"3739",25,"PRESENT",-71.905769,-15.611102
"3740",31451,"PRESENT",-78.257491,-0.559255
"3741",30870,"PRESENT",-72.027566,-15.793583
"3742",NA,"PRESENT",-70.28215,-28.979198
"3743",NA,"PRESENT",-65.38516,-24.768433
"3744",NA,"PRESENT",-65.48952,-24.10107
"3745",NA,"PRESENT",-65.48963,-24.100859
"3746",NA,"PRESENT",-64.925766,-25.804682
"3747",NA,"PRESENT",-69.50691,-14.434725
"3748",NA,"PRESENT",-69.48259,-14.469887
"3749",NA,"PRESENT",-77.54483,-9.122309
"3750",NA,"PRESENT",-65.73003,-26.777912
"3751",NA,"PRESENT",-67.77183,-29.46917
"3752",NA,"PRESENT",-64.97413,-23.590435
"3753",NA,"PRESENT",-77.901,0.801191
"3754",NA,"PRESENT",-75.79692,-12.200414
"3755",NA,"PRESENT",-65.47658,-24.70505
"3756",NA,"PRESENT",-65.29376,-23.841738
"3757",NA,"PRESENT",-75.17636,-15.089846
"3758",NA,"PRESENT",-64.85357,-23.754126
"3759",NA,"PRESENT",-75.797455,-12.201534
"3760",NA,"PRESENT",-65.07749,-25.802937
"3761",NA,"PRESENT",-71.29277,-16.365192
"3762",NA,"PRESENT",-63.573566,-20.120922
"3763",NA,"PRESENT",-64.81908,-23.890388
"3764",NA,"PRESENT",-71.90515,-15.611546
"3765",NA,"PRESENT",-64.154274,-18.289827
"3766",NA,"PRESENT",-65.99465,-25.73316
"3767",NA,"PRESENT",-65.13379,-25.783417
"3768",NA,"PRESENT",-67.04203,-27.67437
"3769",NA,"PRESENT",-78.46942,-0.577599
"3770",NA,"PRESENT",-79.725,-6.10472
"3771",NA,"PRESENT",-64.790764,-23.810968
"3772",NA,"PRESENT",-65.28695,-23.822847
"3773",NA,"PRESENT",-65.393295,-23.577206
"3774",NA,"PRESENT",-67.766914,-29.465286
"3775",NA,"PRESENT",-76.59577,-11.739247
"3776",NA,"PRESENT",-76.614,-11.738
"3777",NA,"PRESENT",-77.226186,-9.896531
"3778",NA,"PRESENT",-77.309646,-9.727523
"3779",NA,"PRESENT",-77.564371,-9.117087
"3780",NA,"PRESENT",-77.67059,-9.122991
"3781",NA,"PRESENT",-77.676612,-9.079503
"3782",NA,"PRESENT",-75.856453,-12.37508
"3783",250,"PRESENT",-72.298103,-13.146687
"3784",5,"PRESENT",-65.7291,-26.7779
"3785",25,"PRESENT",-65.839039,-25.194354
"3786",31227,"PRESENT",-77.264859,-9.767416
"3787",NA,"PRESENT",-73.77437,-14.643636
"3788",NA,"PRESENT",-79.30832,-2.883674
"3789",NA,"PRESENT",-65.468285,-24.116535
"3790",NA,"PRESENT",-64.96953,-23.54713
"3791",NA,"PRESENT",-65.19683,-24.033333
"3792",NA,"PRESENT",-72.2955,-13.142383
"3793",NA,"PRESENT",-65.43623,-19.018934
"3794",NA,"PRESENT",-65.41583,-17.605
"3795",NA,"PRESENT",-69.4121,-14.2506
"3796",NA,"PRESENT",-81.05302,-5.953568
"3797",NA,"PRESENT",-70.58281,-29.45204
"3798",NA,"PRESENT",-78.3154,-0.244617
"3799",NA,"PRESENT",-69.20556,-19.5371
"3800",NA,"PRESENT",-72.197174,-13.330078
"3801",NA,"PRESENT",-65.36071,-24.002386
"3802",NA,"PRESENT",-69.56986,-18.195509
"3803",NA,"PRESENT",-77.590309,-9.152027
"3804",NA,"PRESENT",-77.61037,-9.011761
"3805",NA,"PRESENT",-77.665705,-9.120253
"3806",NA,"PRESENT",-75.916467,-11.977335
"3807",250,"PRESENT",-75.331749,4.895138
"3808",30870,"PRESENT",-71.838958,-15.747556
"3809",41353,"PRESENT",-72.034807,-15.614336
"3810",10,"PRESENT",-71.905805,-15.611106
"3811",31451,"PRESENT",-78.148775,-0.520631
"3812",31451,"PRESENT",-78.178764,-0.407229
"3813",31451,"PRESENT",-78.139833,-0.528005
"3814",31451,"PRESENT",-78.131605,-0.541661
"3815",NA,"PRESENT",-65.50381,-24.090578
"3816",NA,"PRESENT",-74.44971,-14.640986
"3817",NA,"PRESENT",-81.15067,-5.889783
"3818",NA,"PRESENT",-65.95388,-27.335747
"3819",NA,"PRESENT",-65.081985,-25.12893
"3820",NA,"PRESENT",-78.16,0.26
"3821",NA,"PRESENT",-77.84501,-6.722537
"3822",NA,"PRESENT",-76.23544,-11.616738
"3823",NA,"PRESENT",-65.54074,-24.37119
"3824",NA,"PRESENT",-76.23707,-11.613754
"3825",NA,"PRESENT",-70.82833,8.796389
"3826",NA,"PRESENT",-70.82886,8.836392
"3827",NA,"PRESENT",-67.50687,-16.34106
"3828",NA,"PRESENT",-65.93773,-28.095644
"3829",NA,"PRESENT",-72.95773,10.01639
"3830",NA,"PRESENT",-79.45304,-5.808545
"3831",NA,"PRESENT",-79.5272,-5.867205
"3832",NA,"PRESENT",-65.9796,-27.351795
"3833",NA,"PRESENT",-78.2275,-0.536667
"3834",NA,"PRESENT",-65.03158,-25.129866
"3835",NA,"PRESENT",-65.98446,-27.38909
"3836",NA,"PRESENT",-66.16468,-27.63351
"3837",NA,"PRESENT",-65.90448,-28.077154
"3838",NA,"PRESENT",-65.37691,-23.593315
"3839",NA,"PRESENT",-66.20709,-24.456152
"3840",NA,"PRESENT",-81.145901,-5.925081
"3841",NA,"PRESENT",-81.148946,-5.892378
"3842",NA,"PRESENT",-77.301515,-9.737519
"3843",NA,"PRESENT",-77.700447,-8.946109
"3844",NA,"PRESENT",-75.941963,-11.987984
"3845",NA,"PRESENT",-72.902661,-15.24736
"3846",NA,"PRESENT",-72.9056,-15.121075
"3847",NA,"PRESENT",-75.397514,-15.075191
"3848",NA,"PRESENT",-74.354774,-14.692448
"3849",NA,"PRESENT",-74.401899,-14.669519
"3850",NA,"PRESENT",-81.058462,-6.080594
"3851",NA,"PRESENT",-74.371833,-14.658057
"3852",NA,"PRESENT",-74.38838,-14.678624
"3853",NA,"PRESENT",-74.375503,-14.706192
"3854",NA,"PRESENT",-74.419897,-14.666364
"3855",NA,"PRESENT",-74.384041,-14.6958
"3856",NA,"PRESENT",-74.360203,-14.713221
"3857",NA,"PRESENT",-74.402398,-14.684185
"3858",NA,"PRESENT",-81.075901,-6.056809
"3859",NA,"PRESENT",-74.319094,-14.661037
"3860",NA,"PRESENT",-81.108389,-6.017489
"3861",NA,"PRESENT",-81.086044,-6.024368
"3862",77948,"PRESENT",-72.107258,-15.780988
"3863",NA,"PRESENT",-79.44901,-5.802545
"3864",NA,"PRESENT",-70.56359,-29.483852
"3865",NA,"PRESENT",-70.574,-29.494019
"3866",NA,"PRESENT",-65.48219,-24.129406
"3867",NA,"PRESENT",-74.749565,-14.854102
"3868",NA,"PRESENT",-75.374664,4.825226
"3869",NA,"PRESENT",-65.66389,-26.98444
"3870",NA,"PRESENT",-66.03389,-26.396944
"3871",NA,"PRESENT",-65.73722,-26.76389
"3872",NA,"PRESENT",-63.562195,-19.737118
"3873",NA,"PRESENT",-64.59815,-25.014593
"3874",NA,"PRESENT",-65.81611,-25.178055
"3875",NA,"PRESENT",-65.7213,-24.847069
"3876",NA,"PRESENT",-65.5235,-25.351334
"3877",NA,"PRESENT",-65.76746,-24.68438
"3878",NA,"PRESENT",-64.521385,-25.00639
"3879",NA,"PRESENT",-65.697556,-22.71254
"3880",NA,"PRESENT",-66.25163,-16.94566
"3881",NA,"PRESENT",-66.264786,-16.942366
"3882",NA,"PRESENT",-65.867256,-22.533144
"3883",NA,"PRESENT",-65.29443,-22.210024
"3884",NA,"PRESENT",-65.19047,-25.193073
"3885",NA,"PRESENT",-79.29172,-5.316518
"3886",NA,"PRESENT",-78.30107,-0.484038
"3887",NA,"PRESENT",-65.239174,-22.757187
"3888",NA,"PRESENT",-72.9986,-13.99774
"3889",NA,"PRESENT",-65.2562,-23.837975
"3890",NA,"PRESENT",-72.536064,-13.150155
"3891",NA,"PRESENT",-65.62883,-25.6625
"3892",NA,"PRESENT",-68.64464,-15.776148
"3893",NA,"PRESENT",-63.48042,-19.23022
"3894",NA,"PRESENT",-78.06903,-0.53284
"3895",NA,"PRESENT",-66.248,-25.33
"3896",NA,"PRESENT",-66.48213,-22.469995
"3897",NA,"PRESENT",-66.067986,-25.234327
"3898",NA,"PRESENT",-65.7073,-22.72919
"3899",NA,"PRESENT",-78.309715,-0.461554
"3900",NA,"PRESENT",-65.09322,-23.157787
"3901",100,"PRESENT",-78.285799,-0.450841
"3902",30870,"PRESENT",-72.183053,-15.736611
"3903",31451,"PRESENT",-78.009657,0.34365
"3904",31451,"PRESENT",-78.122169,0.233475
"3905",31451,"PRESENT",-78.183866,0.343547
"3906",30396,"PRESENT",-64.408039,-21.264684
"3907",31451,"PRESENT",-78.329496,-0.416448
"3908",NA,"PRESENT",-65.47809,-24.157925
"3909",NA,"PRESENT",-78.29107,-0.49419
"3910",NA,"PRESENT",-75.35081,4.929515
"3911",NA,"PRESENT",-72.16524,-13.240447
"3912",NA,"PRESENT",-72.16134,-13.220729
"3913",NA,"PRESENT",-78.32333,-0.459444
"3914",NA,"PRESENT",-71.98881,-13.489758
