"","X","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","sex","lifeStage","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier.1","http...unknown.org.nick","informationWithheld","verbatimEventDate","collectionCode","gbifID","verbatimLocality","occurrenceID","taxonID","catalogNumber","institutionCode","http...unknown.org.captive","identificationID","name","eventTime","identificationRemarks","individualCount","elevation","elevationAccuracy","samplingProtocol","recordNumber","institutionID","nomenclaturalCode","samplingEffort","verbatimCoordinateSystem","county","municipality","locality","language","type","vernacularName","ownerInstitutionCode","verbatimElevation","occurrenceRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","eventID","habitat","verbatimSRS","higherClassification","projectId","datasetID","georeferencedBy","locationID","parentEventID","organismQuantity","organismQuantityType","preparations","dynamicProperties","eventRemarks","distanceFromCentroidInMeters","otherCatalogNumbers","verbatimTaxonRank","collectionID","georeferenceRemarks","institutionKey","coordinatePrecision","footprintWKT","sampleSizeUnit","sampleSizeValue","fieldNumber","previousIdentifications","locationRemarks","taxonRemarks","fieldNotes","georeferenceSources","bibliographicCitation","disposition","accessRights","waterBody","higherGeography","endDayOfYear","georeferenceVerificationStatus","startDayOfYear","georeferencedDate","collectionKey","organismID","georeferenceProtocol","flags"
"258",258,3128189301,"Tremarctos ornatus (F.G.Cuvier, 1825)",10.6734,-72.7395,"muluriiv","81a019e1-6f28-4154-bb23-e42500257362","2a7e3080-28a9-11dd-97cd-b8a03c50a862","804b8dd0-07ac-4a30-bf92-3c1d862faf5e","CO","EML","2023-01-05T00:21:28.235+00:00","2023-01-25T06:56:35.483+00:00",1,"2a7e3080-28a9-11dd-97cd-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2020-11-08T00:00:00",NA,"SOUTH_AMERICA","La Guajira",2020,11,8,"2020-11-08T00:00:00",NA,"2023-01-25T06:56:35.483+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_025:03","none","none",FALSE,NA,"Carlos Herney Cáceres Martínez","Carlos Herney Cáceres Martínez","WGS84","Mammalia","CO","none","none","Colombia",NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_025:03",NA,NA,NA,"Colección de Tejidos del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH-CT)",3128189301,NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_025:03",NA,"En proceso de catalogación","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)",NA,NA,NA,1730,0,"Muestreo ad libitum","CC029",NA,NA,NA,"grados minutos","Fonseca",NA,"Las Colonias",NA,NA,NA,NA,NA,"Oso registrado en cámaras trampa",NA,NA,NA,NA,NA,"Bosque andino","WGS84",NA,NA,NA,NA,NA,NA,2,"Replica","Muestra fecal en RNALater|Muestra fecal en DNAStabilizer","Fotografía: si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"259",259,3128189307,"Tremarctos ornatus (F.G.Cuvier, 1825)",10.6731,-72.7395,"muluriiv","81a019e1-6f28-4154-bb23-e42500257362","2a7e3080-28a9-11dd-97cd-b8a03c50a862","804b8dd0-07ac-4a30-bf92-3c1d862faf5e","CO","EML","2023-01-05T00:21:28.235+00:00","2023-01-25T06:56:35.489+00:00",1,"2a7e3080-28a9-11dd-97cd-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2020-11-08T00:00:00",NA,"SOUTH_AMERICA","La Guajira",2020,11,8,"2020-11-08T00:00:00",NA,"2023-01-25T06:56:35.489+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_025:04","none","none",FALSE,NA,"Carlos Herney Cáceres Martínez","Carlos Herney Cáceres Martínez","WGS84","Mammalia","CO","none","none","Colombia",NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_025:04",NA,NA,NA,"Colección de Tejidos del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH-CT)",3128189307,NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_025:04",NA,"En proceso de catalogación","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)",NA,NA,NA,1741,0,"Muestreo ad libitum","CC030",NA,NA,NA,"grados minutos","Fonseca",NA,"Las Colonias",NA,NA,NA,NA,NA,"Oso registrado en cámaras trampa",NA,NA,NA,NA,NA,"Bosque andino","WGS84",NA,NA,NA,NA,NA,NA,2,"Replica","Muestra fecal en RNALater|Muestra fecal en DNAStabilizer","Fotografía: si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"261",261,3128189319,"Tremarctos ornatus (F.G.Cuvier, 1825)",6.85872,-73.3694,"muluriiv","81a019e1-6f28-4154-bb23-e42500257362","2a7e3080-28a9-11dd-97cd-b8a03c50a862","804b8dd0-07ac-4a30-bf92-3c1d862faf5e","CO","EML","2023-01-05T00:21:28.235+00:00","2023-01-25T06:56:35.496+00:00",1,"2a7e3080-28a9-11dd-97cd-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2020-11-25T00:00:00",NA,"SOUTH_AMERICA","Santander",2020,11,25,"2020-11-25T00:00:00",NA,"2023-01-25T06:56:35.496+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_025:06","none","none",FALSE,NA,"Carlos Herney Cáceres Martínez","Carlos Herney Cáceres Martínez","WGS84","Mammalia","CO","none","none","Colombia",NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_025:06",NA,NA,NA,"Colección de Tejidos del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH-CT)",3128189319,NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_025:06",NA,"En proceso de catalogación","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)",NA,NA,NA,1826,0,"Muestreo ad libitum","CC032",NA,NA,NA,"grados minutos","San Vicente de Chucurí",NA,"Centro",NA,NA,NA,NA,NA,"Muestra de pelo tomada de rascadero",NA,NA,NA,NA,NA,"Bosque andino","WGS84",NA,NA,NA,NA,NA,NA,1,"Replica","Muestra de pelo preservada en perlas de sílice","Fotografía: no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"262",262,3382034310,"Tremarctos ornatus (F.G.Cuvier, 1825)",6.652,-76.1344,"muluriiv","62b3e751-30d6-420b-8190-fa043d885df7","2a7e3080-28a9-11dd-97cd-b8a03c50a862","804b8dd0-07ac-4a30-bf92-3c1d862faf5e","CO","EML","2023-01-04T19:09:27.962+00:00","2023-01-24T17:33:46.798+00:00",1,"2a7e3080-28a9-11dd-97cd-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2020-11-02T00:00:00",NA,"SOUTH_AMERICA","Antioquia",2020,11,2,"2020-11-02T00:00:00",NA,"2023-01-24T17:33:46.798+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_039:01","none","none",FALSE,NA,"Euclides Oliveros C.","Euclides Oliveros C.","WGS84","Mammalia","CO","none","none","Colombia",NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_039:01",NA,NA,NA,"Colección de Tejidos del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH-CT)",3382034310,NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_039:01",NA,"En proceso de catalogación","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)",NA,NA,NA,2602,0,"Muestreo ad libitum","EOC001",NA,NA,NA,"Grados, minutos y segundos","Abriaquí",NA,"Piedras Pantanillo PNN Orquídeas",NA,NA,NA,NA,NA,"En sendero",NA,NA,NA,NA,NA,"Bosque andino","WGS84",NA,NA,NA,NA,NA,NA,2,"Replicas","Muestra fecal en RNALater|Muestra fecal en DNAStabilizer","Fotografía: si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"263",263,3382034328,"Tremarctos ornatus (F.G.Cuvier, 1825)",3.51,-76.033333,"muluriiv","62b3e751-30d6-420b-8190-fa043d885df7","2a7e3080-28a9-11dd-97cd-b8a03c50a862","804b8dd0-07ac-4a30-bf92-3c1d862faf5e","CO","EML","2023-01-04T19:09:27.962+00:00","2023-01-24T17:33:46.809+00:00",1,"2a7e3080-28a9-11dd-97cd-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2020-11-15T00:00:00",NA,"SOUTH_AMERICA","Valle del Cauca",2020,11,15,"2020-11-15T00:00:00",NA,"2023-01-24T17:33:46.809+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_039:13","none","none",FALSE,NA,"Nestor Roncancio Duque","Nestor Roncancio Duque","WGS84","Mammalia","CO","none","none","Colombia",NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_039:13",NA,NA,NA,"Colección de Tejidos del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH-CT)",3382034328,NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_039:13",NA,"En proceso de catalogación","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)",NA,NA,NA,3664,0,"Muestreo ad libitum","NRD007",NA,NA,NA,"Grados, minutos y segundos","Palmira",NA,"Vereda La Novova Sector Quebrada Toche PNN Las Hermosas",NA,NA,NA,NA,NA,"Páramo",NA,NA,NA,NA,NA,"Páramo","WGS84",NA,NA,NA,NA,NA,NA,2,"Replicas","Muestra fecal en RNALater|Muestra fecal en DNAStabilizer","Fotografía: no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"264",264,3382034341,"Tremarctos ornatus (F.G.Cuvier, 1825)",2.179167,-76.461389,"muluriiv","62b3e751-30d6-420b-8190-fa043d885df7","2a7e3080-28a9-11dd-97cd-b8a03c50a862","804b8dd0-07ac-4a30-bf92-3c1d862faf5e","CO","EML","2023-01-04T19:09:27.962+00:00","2023-01-24T17:33:46.818+00:00",1,"2a7e3080-28a9-11dd-97cd-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2020-11-06T00:00:00",NA,"SOUTH_AMERICA","Cauca",2020,11,6,"2020-11-06T00:00:00",NA,"2023-01-24T17:33:46.818+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_039:32","none","none",FALSE,NA,"Gustavo Adolfo Pisso Florez","Gustavo Adolfo Pisso Florez","WGS84","Mammalia","CO","none","none","Colombia",NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_039:32",NA,NA,NA,"Colección de Tejidos del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH-CT)",3382034341,NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_039:32",NA,"En proceso de catalogación","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)",NA,NA,NA,3011,0,"Muestreo ad libitum","GAP004",NA,NA,NA,"Grados, minutos y segundos","Puracé",NA,"Quebrada Buijíos Valle de los frailejones corregimiento de paletará",NA,NA,NA,NA,NA,"Páramo",NA,NA,NA,NA,NA,"Páramo","WGS84",NA,NA,NA,NA,NA,NA,2,"Replicas","Muestra fecal en RNALater|Muestra fecal en DNAStabilizer","Fotografía: no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"265",265,3013880060,"Tremarctos ornatus (F.G.Cuvier, 1825)",8.683529,-71.058,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:00:36.872+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",NA,"Adult",2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2020-12-29T10:01:32",31271,"SOUTH_AMERICA","Mérida",2020,12,21,"2020-12-21T13:42:00","2022-07-29T16:56:23.000+00:00","2023-03-29T14:00:36.872+00:00","https://www.inaturalist.org/observations/67243217","http://creativecommons.org/licenses/by-nc/4.0/legalcode","67243217","none","none",FALSE,"iNaturalist research-grade observations","Luis Ángel Niño Barreat","Luis Ángel Niño Barreat","WGS84","Mammalia","VE","none","none","Venezuela (Bolivarian Republic of)","Luis Ángel Niño Barreat","67243217","luis_barreat","Coordinate uncertainty increased to 31271m to protect threatened taxon","2020/12/21 1:42 PM -0400","Observations",3013880060,"Mérida, VE","https://www.inaturalist.org/observations/67243217",41657,"67243217","iNaturalist","wild",148133556,"Tremarctos ornatus (F.G.Cuvier, 1825)","13:42:00-04:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"~ 10 cm wide.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"266",266,3029049313,"Tremarctos ornatus (F.G.Cuvier, 1825)",2.753608,-74.957897,"cdround","e3c09ba2-d9cd-494d-9080-3122be400162","2a7e3080-28a9-11dd-97cd-b8a03c50a862","804b8dd0-07ac-4a30-bf92-3c1d862faf5e","CO","EML","2023-01-05T07:54:54.790+00:00","2023-01-25T11:45:05.165+00:00",3,"2a7e3080-28a9-11dd-97cd-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU",NA,NA,"SOUTH_AMERICA","Caquetá",2020,12,28,"2020-12-28T00:00:00",NA,"2023-01-25T11:45:05.165+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:04","none","none",FALSE,NA,"Jorge Iván Valencia Arboleda",NA,"WGS84","Mammalia","CO","none","none","Colombia",NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:04",NA,NA,NA,"Colección de Tejidos del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH-CT)",3029049313,NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:04",NA,"En proceso de catalogación","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)",NA,NA,NA,2166,0,"Muestreo ad libitum","JVA 004",NA,NA,NA,"Grados, minutos y segundos","San Vicente del Caguán",NA,"Pueblitos | PNN Cordillera de los Picachos",NA,NA,NA,NA,NA,"Muestra colectada en zona con presencia de arboles de Higuerón en periodo de cosecha",NA,NA,NA,NA,NA,"Bosque húmedo andino","WGS84",NA,NA,NA,NA,NA,NA,2,"Replicas","Muestra fecal en RNALater|Muestra fecal en DNAStabilizer","Fotografía: si","Bosque primario maduro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"267",267,3029049315,"Tremarctos ornatus (F.G.Cuvier, 1825)",2.753525,-74.95795,"","e3c09ba2-d9cd-494d-9080-3122be400162","2a7e3080-28a9-11dd-97cd-b8a03c50a862","804b8dd0-07ac-4a30-bf92-3c1d862faf5e","CO","EML","2023-01-05T07:54:54.790+00:00","2023-01-25T11:45:05.166+00:00",3,"2a7e3080-28a9-11dd-97cd-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU",NA,NA,"SOUTH_AMERICA","Caquetá",2020,12,28,"2020-12-28T00:00:00",NA,"2023-01-25T11:45:05.166+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:05","none","none",FALSE,NA,"Jorge Iván Valencia Arboleda",NA,"WGS84","Mammalia","CO","none","none","Colombia",NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:05",NA,NA,NA,"Colección de Tejidos del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH-CT)",3029049315,NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:05",NA,"En proceso de catalogación","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)",NA,NA,NA,2175,0,"Muestreo ad libitum","JVA 005",NA,NA,NA,"Grados, minutos y segundos","San Vicente del Caguán",NA,"Pueblitos | PNN Cordillera de los Picachos",NA,NA,NA,NA,NA,"Muestra colectada en zona con presencia de arboles de Higuerón en periodo de cosecha",NA,NA,NA,NA,NA,"Bosque húmedo andino","WGS84",NA,NA,NA,NA,NA,NA,2,"Replicas","Muestra fecal en RNALater|Muestra fecal en DNAStabilizer","Fotografía: si","Bosque primario maduro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"268",268,3029049301,"Tremarctos ornatus (F.G.Cuvier, 1825)",2.753611,-74.957983,"cdround","e3c09ba2-d9cd-494d-9080-3122be400162","2a7e3080-28a9-11dd-97cd-b8a03c50a862","804b8dd0-07ac-4a30-bf92-3c1d862faf5e","CO","EML","2023-01-05T07:54:54.790+00:00","2023-01-25T11:45:05.154+00:00",3,"2a7e3080-28a9-11dd-97cd-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU",NA,NA,"SOUTH_AMERICA","Caquetá",2020,12,28,"2020-12-28T00:00:00",NA,"2023-01-25T11:45:05.154+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:06","none","none",FALSE,NA,"Jorge Iván Valencia Arboleda",NA,"WGS84","Mammalia","CO","none","none","Colombia",NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:06",NA,NA,NA,"Colección de Tejidos del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH-CT)",3029049301,NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:06",NA,"En proceso de catalogación","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)",NA,NA,NA,2131,0,"Muestreo ad libitum","JVA 006",NA,NA,NA,"Grados, minutos y segundos","San Vicente del Caguán",NA,"Pueblitos | PNN Cordillera de los Picachos",NA,NA,NA,NA,NA,"Muestra colectada en zona con presencia de arboles de Higuerón en periodo de cosecha",NA,NA,NA,NA,NA,"Bosque húmedo andino","WGS84",NA,NA,NA,NA,NA,NA,2,"Replicas","Muestra fecal en RNALater|Muestra fecal en DNAStabilizer","Fotografía: si","Bosque primario maduro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"269",269,3029049302,"Tremarctos ornatus (F.G.Cuvier, 1825)",2.753792,-74.956639,"cdround","e3c09ba2-d9cd-494d-9080-3122be400162","2a7e3080-28a9-11dd-97cd-b8a03c50a862","804b8dd0-07ac-4a30-bf92-3c1d862faf5e","CO","EML","2023-01-05T07:54:54.790+00:00","2023-01-25T11:45:05.156+00:00",3,"2a7e3080-28a9-11dd-97cd-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU",NA,NA,"SOUTH_AMERICA","Caquetá",2020,12,28,"2020-12-28T00:00:00",NA,"2023-01-25T11:45:05.156+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:07","none","none",FALSE,NA,"Jorge Iván Valencia Arboleda",NA,"WGS84","Mammalia","CO","none","none","Colombia",NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:07",NA,NA,NA,"Colección de Tejidos del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH-CT)",3029049302,NA,"IAvH:CBB:COLOMBIA:TREMARCTOSORNATUS:MUESTRA:I2D-BIO_2021_003:07",NA,"En proceso de catalogación","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)",NA,NA,NA,2192,0,"Muestreo ad libitum","JVA 007",NA,NA,NA,"Grados, minutos y segundos","San Vicente del Caguán",NA,"Pueblitos | PNN Cordillera de los Picachos",NA,NA,NA,NA,NA,"Muestra colectada en zona con presencia de arboles de Higuerón en periodo de cosecha",NA,NA,NA,NA,NA,"Bosque húmedo andino","WGS84",NA,NA,NA,NA,NA,NA,2,"Replicas","Muestra fecal en RNALater|Muestra fecal en DNAStabilizer","Fotografía: si","Bosque primario maduro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
