"","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","occurrenceStatus"
"125",-78.326647,-0.34713,31451,"PRESENT"
"126",-78.055873,-0.341365,31451,"PRESENT"
"127",-78.651419,0.048272,31451,"PRESENT"
"128",-78.054429,0.304171,68218,"PRESENT"
"129",-73.558517,5.807583,31368,"PRESENT"
"130",-78.071724,-0.313424,31451,"PRESENT"
"131",-78.778233,0.077091,31451,"PRESENT"
"132",-76.40981,2.40091,NA,"PRESENT"
"133",-73.16328,6.09483,NA,"PRESENT"
"134",-76.0768,4.9733,NA,"PRESENT"
"135",-78.578148,0.074957,31451,"PRESENT"
"136",-73.153,5.989,NA,"PRESENT"
"137",-73.1589,5.9894,NA,"PRESENT"
"138",-73.1599,5.9891,NA,"PRESENT"
"139",-73.1622,5.9844,NA,"PRESENT"
"140",-73.2166,5.9986,NA,"PRESENT"
"141",-73.2168,5.9984,NA,"PRESENT"
"142",-73.2129,5.9954,NA,"PRESENT"
"143",-73.0778,6.095,NA,"PRESENT"
"144",-78.293174,-0.577355,31451,"PRESENT"
"145",-78.158727,-1.264861,31447,"PRESENT"
"146",-77.885385,0.294624,31451,"PRESENT"
"147",-77.86968,0.237492,31451,"PRESENT"
"148",-76.5626,2.2313,NA,"PRESENT"
"149",-76.8234,1.6899,NA,"PRESENT"
"150",-76.8468,1.696,NA,"PRESENT"
"151",-76.8838,1.6413,NA,"PRESENT"
"152",-76.6882,1.9049,NA,"PRESENT"
"153",-78.126233,0.274339,68218,"PRESENT"
"154",-77.923407,-0.193166,31451,"PRESENT"
"155",-73.851749,4.632634,31398,"PRESENT"
"156",-73.586333,5.808917,NA,"PRESENT"
"157",-78.143194,0.875699,31449,"PRESENT"
"158",-74.889056,2.771833,NA,"PRESENT"
"159",-74.913,2.803194,NA,"PRESENT"
"160",-74.895333,2.765889,NA,"PRESENT"
"161",-78.694631,0.141014,31451,"PRESENT"
"162",-78.703823,0.132125,31451,"PRESENT"
"163",-78.788433,0.017446,31451,"PRESENT"
"164",-78.606619,0.057924,31451,"PRESENT"
"165",-76.082,6.9495,NA,"PRESENT"
"166",-78.673347,0.007613,31451,"PRESENT"
"167",-78.065197,0.437375,31451,"PRESENT"
"168",-78.731158,0.149291,31451,"PRESENT"
"169",-78.47579,0.014234,31451,"PRESENT"
"170",-78.301844,-0.53051,31451,"PRESENT"
"171",-73.795808,4.627914,31398,"PRESENT"
"172",-76.208214,2.213376,31438,"PRESENT"
"173",-77.894252,0.272733,31451,"PRESENT"
"174",-76.0787,4.9729,NA,"PRESENT"
"175",-75.961389,3.700556,NA,"PRESENT"
"176",-76.3589,2.3761,NA,"PRESENT"
"177",-76.3247,2.3789,NA,"PRESENT"
"178",-76.31,2.373333,NA,"PRESENT"
"179",-76.374152,2.334023,31438,"PRESENT"
"180",-78.396593,-0.23808,31451,"PRESENT"
"181",-78.019991,-0.383081,31451,"PRESENT"
"182",-78.352635,-0.458394,31451,"PRESENT"
"183",-72.7331,10.6868,NA,"PRESENT"
"184",-72.7402,10.6739,NA,"PRESENT"
"185",-72.7395,10.6734,NA,"PRESENT"
"186",-72.7395,10.6731,NA,"PRESENT"
"187",-73.3694,6.85872,NA,"PRESENT"
"188",-76.1344,6.652,NA,"PRESENT"
"189",-76.033333,3.51,NA,"PRESENT"
"190",-76.461389,2.179167,NA,"PRESENT"
"191",-71.058,8.683529,31271,"PRESENT"
"192",-74.957897,2.753608,NA,"PRESENT"
"193",-74.95795,2.753525,NA,"PRESENT"
"194",-74.957983,2.753611,NA,"PRESENT"
"195",-74.956639,2.753792,NA,"PRESENT"
"196",-75.962222,3.699167,NA,"PRESENT"
"197",-75.957222,3.681944,NA,"PRESENT"
"198",-76.851944,1.635556,NA,"PRESENT"
"199",-78.178259,-1.313636,31447,"PRESENT"
"200",-78.317138,-0.361018,31451,"PRESENT"
"201",-78.327711,-1.771837,31650,"PRESENT"
"202",-78.006407,0.228079,68218,"PRESENT"
"203",-78.029067,0.29973,68218,"PRESENT"
"204",-78.037161,-0.536497,31451,"PRESENT"
"205",-73.15,6.003,NA,"PRESENT"
"206",-78.296929,-0.428185,31451,"PRESENT"
"207",-78.201136,-0.413129,31451,"PRESENT"
"208",-78.231215,-0.540592,31451,"PRESENT"
"209",-78.223071,-0.320285,31451,"PRESENT"
"210",-78.381822,-0.249705,31451,"PRESENT"
"211",-73.638555,4.697431,31398,"PRESENT"
"212",-76.26769,6.57911,16670,"PRESENT"
"213",-78.224321,-0.410794,31451,"PRESENT"
"214",-78.182628,0.388539,68218,"PRESENT"
"215",-78.194634,0.201246,68218,"PRESENT"
"216",-73.07964,6.09258,NA,"PRESENT"
"217",-73.07506,6.10922,NA,"PRESENT"
"218",-72.341696,6.70877,NA,"PRESENT"
"219",-72.342081,6.706886,NA,"PRESENT"
