"","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","occurrenceStatus"
"109",-79.190358,0.631107,NA,"PRESENT"
"110",-69.959182,6.7381,NA,"PRESENT"
"111",-70.011018,6.776045,NA,"PRESENT"
"112",-70.012208,6.774928,NA,"PRESENT"
"113",-70.000965,6.775402,NA,"PRESENT"
"114",-70.159125,6.751625,NA,"PRESENT"
"115",-70.173088,6.754248,NA,"PRESENT"
"116",-70.235692,6.74157,NA,"PRESENT"
"117",-45.109818,-23.303939,30196,"PRESENT"
"118",-75.7353,4.924807,31394,"PRESENT"
"119",-75.17895,9.91575,NA,"PRESENT"
"120",-79.178375,0.617388,NA,"PRESENT"
"121",-79.15749,0.618585,NA,"PRESENT"
"122",-72.640815,11.069067,31158,"PRESENT"
"123",-76.44956,0.92876,NA,"PRESENT"
"124",-73.831283,7.341893,NA,"PRESENT"
"125",-73.840485,7.369537,NA,"PRESENT"
"126",-79.178175,0.617088,NA,"PRESENT"
"127",-48.138444,-15.533063,30885,"PRESENT"
"128",-52.420518,3.901709,31415,"PRESENT"
"129",-76.45416,0.93458,NA,"PRESENT"
"130",-79.170463,0.616316,NA,"PRESENT"
"131",-50.301477,-22.070112,30318,"PRESENT"
"132",-49.03835,-27.626293,29704,"PRESENT"
"133",-47.613545,-22.333771,30298,"PRESENT"
"134",-72.712862,10.912883,31169,"PRESENT"
"135",-47.556087,-22.388162,30298,"PRESENT"
"136",-53.812883,-26.908376,29798,"PRESENT"
"137",-79.175957,0.634915,NA,"PRESENT"
"138",-79.175312,0.640368,NA,"PRESENT"
"139",-66.09848,-13.762331,209,"PRESENT"
"140",-50.008355,-6.095076,31362,"PRESENT"
"141",-59.187226,-28.564599,29607,"PRESENT"
"142",-59.016238,-28.499401,29607,"PRESENT"
"143",-48.045225,-21.117976,30415,"PRESENT"
"144",-59.164004,-28.425717,29607,"PRESENT"
"145",-78.14468,-0.2913,NA,"PRESENT"
"146",-59.44414,-23.292741,30196,"PRESENT"
"147",-59.571879,-23.300195,30196,"PRESENT"
"148",-75.5318,6.1874,NA,"PRESENT"
"149",-73.909449,7.23839,NA,"PRESENT"
"150",-73.725,7.3405,5,"PRESENT"
"151",-79.198545,0.636974,NA,"PRESENT"
"152",-79.170106,0.61089,NA,"PRESENT"
"153",-79.17292,0.606012,NA,"PRESENT"
"154",-45.08687,-23.454192,30175,"PRESENT"
"155",-75.497665,6.172867,NA,"PRESENT"
"156",-76.638918,1.040382,31448,"PRESENT"
"157",-47.9013093,-24.0743761,NA,"PRESENT"
"158",-75.489,6.1899,NA,"PRESENT"
"159",-71.143175,-29.532424,29483,"PRESENT"
"160",-48.088306,-21.611294,30357,"PRESENT"
"161",-48.6143152,-24.4427751,NA,"PRESENT"
"162",-79.170558,0.616539,NA,"PRESENT"
"163",-48.308802,-21.052817,30415,"PRESENT"
"164",-48.196883,-22.055757,30318,"PRESENT"
"165",-47.809036,-21.808864,30338,"PRESENT"
"166",-48.287545,-15.571207,30885,"PRESENT"
"167",-79.19624,0.618819,NA,"PRESENT"
"168",-46.862942,-23.854619,30133,"PRESENT"
"169",-75.938133,-0.182022,16,"PRESENT"
"170",-78.144722,-0.291275,4,"PRESENT"
"171",-76.793941,0.885808,NA,"PRESENT"
"172",-76.81185,0.869896,NA,"PRESENT"
"173",-76.78817,0.867748,NA,"PRESENT"
"174",-73.153,5.989,NA,"PRESENT"
"175",-74.14826,6.70405,NA,"PRESENT"
"176",-57.355851,-24.974269,362,"PRESENT"
"177",-78.067073,-1.404419,NA,"PRESENT"
"178",-78.066008,-1.406433,NA,"PRESENT"
"179",-68.44974,5.6594,NA,"PRESENT"
"180",-68.13488,5.83746,NA,"PRESENT"
"181",-68.25189,5.90541,NA,"PRESENT"
"182",-68.25924,5.92015,NA,"PRESENT"
"183",-74.09894,6.63811,NA,"PRESENT"
"184",-74.09795,6.63269,NA,"PRESENT"
"185",-74.13653,6.60748,NA,"PRESENT"
"186",-79.179207,0.62429,NA,"PRESENT"
"187",-73.44017,6.70857,NA,"PRESENT"
"188",-73.42483,6.8032,NA,"PRESENT"
"189",-73.42483,6.80319,NA,"PRESENT"
"190",-73.42483,6.79724,NA,"PRESENT"
"191",-73.43406,6.80067,NA,"PRESENT"
"192",-76.876467,0.948257,31449,"PRESENT"
"193",-47.448503,-22.379214,30298,"PRESENT"
"194",-72.73448,11.010152,31158,"PRESENT"
"195",-76.16777,4.83115,NA,"PRESENT"
"196",-73.305371,4.621021,NA,"PRESENT"
"197",-73.324502,4.642764,NA,"PRESENT"
"198",-69.8453,-3.90748,NA,"PRESENT"
"199",-73.44017,6.7019,NA,"PRESENT"
"200",-73.44017,6.72534,NA,"PRESENT"
"201",-73.44017,6.72058,NA,"PRESENT"
"202",-73.42483,6.7652,NA,"PRESENT"
"203",-78.126013,0.349977,68218,"PRESENT"
"204",-79.191246,0.63322,NA,"PRESENT"
"205",-41.138165,-20.589248,30472,"PRESENT"
"206",-73.13342,5.9684,NA,"PRESENT"
"207",-73.409498,3.526048,NA,"PRESENT"
"208",-79.198219,0.65465,NA,"PRESENT"
"209",-79.174215,0.615649,NA,"PRESENT"
"210",-69.03706,-12.344255,31092,"PRESENT"
"211",-79.173705,0.615805,NA,"PRESENT"
"212",-79.181635,0.612058,NA,"PRESENT"
"213",-67.748683,-16.224654,364,"PRESENT"
"214",-76.40904,7.319518,31324,"PRESENT"
"215",-76.78092,0.87417,NA,"PRESENT"
"216",-79.171186,0.616791,NA,"PRESENT"
"217",-79.167986,0.653855,NA,"PRESENT"
"218",-47.9480096,-24.0616759,NA,"PRESENT"
"219",-47.9239094,-24.073676,NA,"PRESENT"
"220",-79.170555,0.610825,NA,"PRESENT"
"221",-79.17032,0.615904,NA,"PRESENT"
"222",-47.8106085,-24.0195762,NA,"PRESENT"
"223",-47.8674091,-24.0768762,NA,"PRESENT"
"224",-47.9507097,-24.083476,NA,"PRESENT"
"225",-48.3858132,-24.2817753,NA,"PRESENT"
