"","x","y","Presence","dem","temp_mean_annual","temp_mean_diurnal","prec_annual","canopy_height","pop_dens","aspect","slope","water_bodies"
"1",-1542500,4744500,1,170,26.4951419830322,8.18061256408691,1166.49938964844,8,94.8965606689453,11.569972038269,7.38629484176636,0.470400005578995
"2",-1513500,4744500,1,505,24.0030765533447,7,1332.14697265625,23,118.458702087402,27.8407802581787,3.01831793785095,0
"3",-1706500,4743500,1,261,24.6651611328125,2.9595513343811,1526.76391601562,27,281.878814697266,0.249327316880226,8.17328929901123,0
"4",-1723500,4740500,1,211,25.428050994873,2.18466806411743,1304.95458984375,4,281.878814697266,27.3796291351318,3.37552356719971,0
"5",-1531500,4740500,1,114,26.489574432373,7.52998495101929,1093.14697265625,5,65.8471527099609,327.030609130859,0.631691217422485,0.839999973773956
"6",-1533500,4738500,1,114,26.4611568450928,7.63735198974609,1091.30981445312,7,73.9589309692383,319.763641357422,0.853684782981873,0.839999973773956
"7",-1541500,4733500,1,115,26.5037593841553,8.07284927368164,1003.74560546875,6,66.3773880004883,346.504272460938,0.368262410163879,0.873600006103516
"8",-1676500,4727500,1,387,25.286304473877,4.9688892364502,2865.3974609375,22,281.878814697266,34.6751861572266,5.18490886688232,0
"9",-1552500,4726500,1,127,26.549560546875,8.5,919.052612304688,6,66.3773880004883,104.036247253418,0.0590591169893742,0.990400016307831
"10",-1548500,4717500,1,218,26.0477046966553,8.1268949508667,1062.03918457031,7,66.3773956298828,329.534454345703,1.69457983970642,0.159999996423721
"11",-1835500,4668500,1,72,27.2415046691895,5.48468065261841,1084.67041015625,1,77.4317092895508,119.931510925293,0.545423090457916,0.198400005698204
"12",-1847500,4667500,1,19,27.3426265716553,4.77490854263306,982.940246582031,3,37.1209869384766,303.407836914062,0.403232097625732,0.391999989748001
"13",-1671500,4627500,1,301,26.9424800872803,9.80000019073486,1802.87890625,17,138.63737487793,168.153610229492,8.92796516418457,0
"14",-1833500,4597500,1,254,26.0454597473145,7.19999980926514,1818.56079101562,16,53.3200187683105,55.3707427978516,1.57500922679901,0
"15",-1829500,4594500,1,353,25.8505363464355,7.19999980926514,1674.67321777344,24,53.3200187683105,75.963752746582,0.708673536777496,0
"16",-1834500,4592500,1,469,25.294261932373,7.19999980926514,1797.87756347656,14,53.1825675964355,6.02501201629639,4.01917505264282,0.00799999944865704
"17",-1838500,4590500,1,361,25.5930671691895,7.19999980926514,1789.21752929688,18,46.8933067321777,337.314392089844,6.69174861907959,0.0399999991059303
"18",-1872500,4552500,1,21,27.25,5.50323534011841,1309.05786132812,25,133.137268066406,249.443954467773,0.122383654117584,0
"19",-1672500,4455500,1,59,27.0391120910645,6.80000019073486,1611.16845703125,18,57.627368927002,11.7251119613647,2.71169018745422,0.982400000095367
"20",-1766500,4437500,1,24,26.9500007629395,6.5,2965.44848632812,11,61.9643440246582,18.4349479675293,0.0226481445133686,0.232000008225441
"21",-1876500,4423500,1,66,26.7508544921875,7.09999990463257,1860.94494628906,19,68.2916793823242,42.4949073791504,1.62168633937836,0.0799999982118607
"22",-1851500,4392500,1,43,27.1281242370605,6.82557916641235,2265.3271484375,7,73.6498565673828,346.607513427734,0.154605358839035,1.00800001621246
"23",-2072500,4389500,1,1365,19.3810062408447,6.59999990463257,4467.13671875,34,6.56738185882568,353.117614746094,10.5765018463135,0
"24",-1938500,4384500,1,402,24.6532230377197,7.13674306869507,2006.11584472656,27,29.2597198486328,291.981262207031,11.6978721618652,1.08799993991852
"25",-1937500,4384500,1,638,23.8448734283447,7.13068151473999,2103.84155273438,34,29.2597198486328,241.955307006836,0.868217468261719,0.927999973297119
"26",-1937500,4383500,1,526,24.05859375,7.15228652954102,2115.45556640625,37,29.2597217559814,139.740509033203,6.22582530975342,0.863999962806702
"28",-2044500,4359500,1,4,26.6499996185303,6.19390153884888,2255.72412109375,9,9.60861015319824,45,0.0303856730461121,1.85119998455048
"29",-2050500,4358500,1,22,26.5637702941895,6.30000019073486,2683.97119140625,34,2.78295278549194,109.957405090332,1.36364233493805,0.791999995708466
"30",-2054500,4356500,1,180,25.865478515625,6.39273643493652,3210.81176757812,27,2.78295278549194,111.939849853516,3.84706997871399,0.556800007820129
"31",-1653500,4350500,1,67,26.9500007629395,6.71796321868896,2782.75341796875,18,27.6710948944092,292.067901611328,0.285938858985901,0.439999997615814
"32",-1639500,4348500,1,85,26.7518558502197,7.03882741928101,2707.28100585938,16,27.6710968017578,35.5376777648926,0.369652569293976,0.113600000739098
"33",-1651500,4347500,1,89,26.8500003814697,6.69947195053101,2851.96337890625,12,27.6710929870605,255.963760375977,0.236235216259956,0.19200000166893
"34",-1650500,4346500,1,88,26.8245601654053,6.72545337677002,2872.78759765625,17,27.6710948944092,254.054611206055,0.104279778897762,0.247999995946884
"35",-1654500,4337500,1,83,26.8500003814697,6.40000009536743,2957.27001953125,16,27.6710948944092,205.7099609375,0.214619308710098,1.57599997520447
"36",-1660500,4336500,1,69,26.9500007629395,6.10873889923096,3048.91455078125,14,27.571985244751,284.534454345703,0.199765592813492,1.80320000648499
"37",-1589500,4328500,1,379,24.7071285247803,6.38500881195068,1997.53674316406,21,528.517578125,135.70622253418,6.54531192779541,0.603200018405914
"38",-1596500,4327500,1,517,24.4462890625,6.40000009536743,2201.21435546875,30,528.517639160156,221.312698364258,9.05837821960449,1.03999996185303
"39",-1192500,4325500,1,102,26.75,7.19999980926514,2058.93188476562,12,28.3526000976562,161.565048217773,0.0226481445133686,0.775999963283539
"40",-1191500,4325500,1,102,26.75,7.19999980926514,2061.20092773438,14,28.3526020050049,135,0.0405142270028591,0.791999995708466
"41",-1712500,4324500,1,429,25.238597869873,7.12973880767822,3116.30883789062,34,25.6643600463867,22.3801345825195,0.131671026349068,0.232000008225441
"42",-1712500,4323500,1,463,25.2105712890625,7.16522884368896,3108.14208984375,35,25.6643600463867,69.8515853881836,1.06028628349304,0.296000003814697
